date,description,link
"5/2013","Sopimus keskinäisestä oikeusavusta rikosasioissa Euroopan unionin jäsenvaltioiden välillä 29 päivänä toukokuuta 2000 tehdyn yleissopimuksen ja siihen vuonna 2001 liitetyn pöytäkirjan tiettyjen määräysten soveltamisesta Euroopan unionin sekä Islannin tasavallan ja Norjan kuningaskunnan välillä","https://www.finlex.fi/fi/sopimukset/sopsviite/2013/20130005"
"2/2013","Sopimus lento- ja meripelastusyhteistyöstä arktisella alueella","https://www.finlex.fi/fi/sopimukset/sopsviite/2013/20130002"
"1/2013","Elintarvikeapua koskeva yleissopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2013/20130001"
"99/2012","Sopimus Islannin tasavallan hallituksen, Latvian tasavallan hallituksen, Liettuan tasavallan hallituksen, Norjan kuningaskunnan hallituksen, Puolan tasavallan hallituksen, Ruotsin kuningaskunnan hallituksen, Saksan liittotasavallan hallituksen, Suomen tasavallan hallituksen, Venäjän federaation hallituksen ja Viron tasavallan hallituksen välillä Pohjoisen ulottuvuuden sosiaali- ja terveyskumppanuuden sihteeristön perustamisesta","https://www.finlex.fi/fi/sopimukset/sopsviite/2012/20120099"
"93/2012","Sopimus pohjoiseurooppalaisen toiminnallisen ilmatilan lohkon perustamisesta Viron tasavallan, Suomen tasavallan, Latvian tasavallan ja Norjan kuningaskunnan välillä","https://www.finlex.fi/fi/sopimukset/sopsviite/2012/20120093"
"74/2012","Belgian kuningaskunnan, Saksan liittotasavallan, Viron tasavallan, Irlannin, Helleenien tasavallan, Espanjan kuningaskunnan, Ranskan tasavallan, Italian tasavallan, Kyproksen tasavallan, Luxemburgin suurherttuakunnan, Maltan, Alankomaiden kuningaskunnan, Itävallan tasavallan, Portugalin tasavallan, Slovenian tasavallan, Slovakian tasavallan ja Suomen tasavallan välinen sopimus Euroopan vakausmekanismin perustamisesta","https://www.finlex.fi/fi/sopimukset/sopsviite/2012/20120074"
"71/2012","Rikoksen johdosta tapahtuvaa luovuttamista koskeva Pohjoismaiden välinen sopimus (Pohjoismainen pidätysmääräys)","https://www.finlex.fi/fi/sopimukset/sopsviite/2012/20120071"
"68/2012","Pohjoismainen kansalaisuussopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2012/20120068"
"43/2012","Euroopan neuvoston yleissopimus ihmiskaupan vastaisesta toiminnasta","https://www.finlex.fi/fi/sopimukset/sopsviite/2012/20120043"
"38/2012","Lasten adoptiota koskeva eurooppalainen yleissopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2012/20120038"
"26/2012","Sopimus yhteisestä hankintamenettelystä yhteisten huutokauppapaikkojen nimeämiseksi","https://www.finlex.fi/fi/sopimukset/sopsviite/2012/20120026"
"24/2012","Sopimus yhteisestä hankintamenettelystä huutokauppatarkkailijan nimeämiseksi","https://www.finlex.fi/fi/sopimukset/sopsviite/2012/20120024"
"22/2012","Sopimus Barentsin euroarktisen alueen hallitusten välillä yhteistyöstä onnettomuuksien ehkäisemisen, niihin varautumisen ja pelastustoiminnan alalla","https://www.finlex.fi/fi/sopimukset/sopsviite/2012/20120022"
"12/2012","Yleissopimus jalkaväkimiinojen käytön, varastoinnin, tuotannon ja siirron kieltämisestä ja niiden hävittämisestä","https://www.finlex.fi/fi/sopimukset/sopsviite/2012/20120012"
"9/2012","Suomen, Norjan ja Ruotsin välinen sopimus Pohjoiskalotin koulutussäätiöstä","https://www.finlex.fi/fi/sopimukset/sopsviite/2012/20120009"
"120/2011","Uusittu trooppista puuta koskeva sopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2011/20110120"
"108/2011","Euroopan antiprotoni- ja ionitutkimuslaitoksen rakentamisesta ja käytöstä tehty yleissopimus sekä tutkimuslaitoksen perustamisesta tehty loppuasiakirja","https://www.finlex.fi/fi/sopimukset/sopsviite/2011/20110108"
"106/2011","Sopimus Bulgarian tasavallan ja Romanian osallistumisesta Euroopan talousalueeseen","https://www.finlex.fi/fi/sopimukset/sopsviite/2011/20110106"
"87/2011","Euroopan neuvoston yleissopimus lasten suojelemisesta seksuaalista hyväksikäyttöä ja seksuaalista väkivaltaa vastaan","https://www.finlex.fi/fi/sopimukset/sopsviite/2011/20110087"
"68/2011","Maailmanpostiliiton yleissopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2011/20110068"
"50/2011","Teollismallien kansainvälistä rekisteröintiä koskevaan Haagin sopimukseen liittyvä Geneven asiakirja ja sen täytäntöönpanomääräykset","https://www.finlex.fi/fi/sopimukset/sopsviite/2011/20110050"
"25/2011","Kansainvälisen uusiutuvan energian viraston (IRENA) perussääntö","https://www.finlex.fi/fi/sopimukset/sopsviite/2011/20110025"
"22/2011","Sopimus Suomen tasavallan hallituksen puolesta toimivan Suomen puolustusministeriön, Ranskan tasavallan puolustusministerin, Italian tasavallan puolustusministeriön, Puolan tasavallan puolustusministerin, Espanjan kuningaskunnan puolustusministeriön, Ruotsin kuningaskunnan Försvarets Materielverkin ja Amerikan yhdysvaltojen puolustusministeriön välillä SSDR-ohjelmistoradioteknologiaa koskevasta tutkimus- ja kehitystiedon vaihdosta","https://www.finlex.fi/fi/sopimukset/sopsviite/2011/20110022"
"12/2011","Lasten oikeuksien käyttöä koskeva eurooppalainen yleissopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2011/20110012"
"10/2011","Yleissopimus aikuisten kansainvälisestä suojelusta","https://www.finlex.fi/fi/sopimukset/sopsviite/2011/20110010"
"8/2011","Yleissopimus toimivallasta, sovellettavasta laista, toimenpiteiden tunnustamisesta ja täytäntöönpanosta sekä yhteistyöstä vanhempainvastuuseen ja lasten suojeluun liittyvissä asioissa","https://www.finlex.fi/fi/sopimukset/sopsviite/2011/20110008"
"6/2011","Sopimus Pohjoisen ulottuvuuden liikenne- ja logistiikkakumppanuuden sihteeristöstä","https://www.finlex.fi/fi/sopimukset/sopsviite/2011/20110006"
"128/2010","Yleinen turvallisuussopimus Tanskan, Suomen, Islannin, Norjan ja Ruotsin välillä turvallisuusluokitellun tiedon vastavuoroisesta suojaamisesta ja vaihtamisesta","https://www.finlex.fi/fi/sopimukset/sopsviite/2010/20100128"
"106/2010","Keskitettyä tulliselvitystä koskeva yleissopimus jäsenvaltioiden itselleen pidättämien kantopalkkioiden jaosta perinteisiä omia varoja Euroopan unionin talousarviokäyttöön asetettaessa","https://www.finlex.fi/fi/sopimukset/sopsviite/2010/20100106"
"92/2010","Vuoden 2001 kansainvälinen yleissopimus alusten haitallisten kiinnittymisenestojärjestelmien rajoittamisesta","https://www.finlex.fi/fi/sopimukset/sopsviite/2010/20100092"
"89/2010","Kumppanuussopimus Viktoria-järven valuma-alueen kestävän kehityksen edistämisestä","https://www.finlex.fi/fi/sopimukset/sopsviite/2010/20100089"
"80/2010","Belgian kuningaskunnan, Saksan liittotasavallan, Irlannin, Ranskan tasavallan, Italian tasavallan, Kyproksen tasavallan, Luxemburgin suurherttuakunnan, Maltan tasavallan, Alankomaiden kuningaskunnan, Itävallan tasavallan, Portugalin tasavallan, Slovenian tasavallan, Slovakian tasavallan, Suomen tasavallan, Helleenien tasavallan ja Euroopan rahoitusvälineen välinen ERVV puitesopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2010/20100080"
"55/2010","Sopimus Suomen tasavallan hallituksen puolesta toimivan Suomen tasavallan puolustusministeriön ja Saksan liittotasavallan puolustusministeriön ja Amerikan Yhdysvaltojen puolustusministeriön välillä pintataistelualusten alumiinirakennesuunnittelusta","https://www.finlex.fi/fi/sopimukset/sopsviite/2010/20100055"
"36/2010","Euroopan yhteisöjen ja niiden jäsenvaltioiden sekä Montenegron tasavallan välinen vakautus- ja assosiaatiosopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2010/20100036"
"26/2010","Kansainvälinen COSPAS-SARSAT-ohjelmasopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2010/20100026"
"23/2010","Yleissopimus ihmisoikeuksien ja ihmisarvon suojaamiseksi biologian ja lääketieteen alalla: Yleissopimus ihmisoikeuksista ja biolääketieteestä","https://www.finlex.fi/fi/sopimukset/sopsviite/2010/20100023"
"18/2010","Esitys- ja äänitesopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2010/20100018"
"16/2010","Tekijänoikeussopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2010/20100016"
"14/2010","Euroopan yhteisöjen ja niiden jäsenvaltioiden sekä Tadzhikistanin tasavallan välinen kumppanuus- ja yhteistyösopimus kumppanuuden perustamisesta","https://www.finlex.fi/fi/sopimukset/sopsviite/2010/20100014"
"13/2010","Pöytäkirja Euroopan talousyhteisön ja San Marinon tasavallan yhteistyötä ja tulliliittoa koskevaan sopimukseen Itävallan tasavallan, Suomen tasavallan ja Ruotsin kuningaskunnan Euroopan unioniin liittymisen vuoksi","https://www.finlex.fi/fi/sopimukset/sopsviite/2010/20100013"
"5/2010","Sopimus keskinäisestä oikeusavusta Euroopan unionin ja Amerikan yhdysvaltojen välillä","https://www.finlex.fi/fi/sopimukset/sopsviite/2010/20100005"
"1/2010","Sopimus rikoksen johdosta tapahtuvasta luovuttamisesta Euroopan unionin ja Amerikan yhdysvaltojen välillä","https://www.finlex.fi/fi/sopimukset/sopsviite/2010/20100001"
"82/2009","Yhteisymmärryspöytäkirja Suomen hallituksen puolesta toimivan Suomen puolustusministeriön, Amerikan yhdysvaltojen puolustusministeriön, Australian puolustusministeriön, Espanjan kuningaskunnan puolustusministeriön, Ison-Britannian ja Pohjois-Irlannin yhdistyneen kuningaskunnan puolustusministerin, Italian tasavallan puolustusministeriön, Ranskan tasavallan puolustusministerin, Ruotsin puolustusvoimien ja Saksan liittotasavallan puolustusministeriön välillä ohjelmistoradioteknologiaa koskevasta COALWNW-ohjelmasta","https://www.finlex.fi/fi/sopimukset/sopsviite/2009/20090082"
"75/2009","Euroopan Union ja Australian välinen sopimus lentoliikenteenharjoittajien Euroopan unionista peräisin olevien PNR- eli matkustajarekisteritietojen käsittelemisestä ja siirtämisestä Australian tullilaitokselle","https://www.finlex.fi/fi/sopimukset/sopsviite/2009/20090075"
"66/2009","Lissabonin sopimus Euroopan unionista tehdyn sopimuksen ja Euroopan yhteisön perustamissopimuksen muuttamisesta","https://www.finlex.fi/fi/sopimukset/sopsviite/2009/20090066"
"55/2009","Suomen tasavallan hallituksen, Pohjoismaiden ympäristörahoitusyhtiön sekä Pohjoismaiden investointipankin välinen sopimus Itämeren toimintaohjelman hankevalmistelurahastosta","https://www.finlex.fi/fi/sopimukset/sopsviite/2009/20090055"
"50/2009","Pöytäkirja Tanskan, Suomen, Islannin, Norjan ja Ruotsin välillä Sri Lankan tarkkailuoperaation  (SLMM) arkiston sijoittamisesta Norjan kansallisarkistoon","https://www.finlex.fi/fi/sopimukset/sopsviite/2009/20090050"
"44/2009","Sopimus EU-Afrikka infrastruktuurirahaston säännöistä","https://www.finlex.fi/fi/sopimukset/sopsviite/2009/20090044"
"32/2009","12 päivänä elokuuta 1949 tehtyjen Geneven yleissopimusten, uuden tunnusmerkin käyttöönotosta tehty lisäpöytäkirja (III pöytäkirja)","https://www.finlex.fi/fi/sopimukset/sopsviite/2009/20090032"
"16/2009","Euroopan yhteisöjen ja niiden jäsenvaltioiden sekä Albanian tasavallan välinen vakautus- ja assosiaatiosopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2009/20090016"
"5/2009","Kansainvälinen yleissopimus ydinterrorismin torjumisesta","https://www.finlex.fi/fi/sopimukset/sopsviite/2009/20090005"
"3/2009","Kansainvälinen yleissopimus aluksen polttoaineen aiheuttamasta pilaantumisvahingosta johtuvasta vahingonkorvausvastuusta","https://www.finlex.fi/fi/sopimukset/sopsviite/2009/20090003"
"121/2008","Yleissopimus nro 187 joka koskee työturvallisuuden ja -terveyden edistämistä, 2006. Suositus nro 197 joka koskee työturvallisuuden ja -terveyden edistämistä, 2006.","https://www.finlex.fi/fi/sopimukset/sopsviite/2008/20080121"
"96/2008","Yleissopimus kansalaisuudettomuuden vähentämisestä","https://www.finlex.fi/fi/sopimukset/sopsviite/2008/20080096"
"93/2008","Eurooppalainen yleissopimus kansalaisuudesta","https://www.finlex.fi/fi/sopimukset/sopsviite/2008/20080093"
"64/2008","Euroopan yhteisön ja sen jäsenvaltioiden sekä Marokon kuningaskunnan välinen Euro-Välimeri-lentoliikennesopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2008/20080064"
"48/2008","Terrorismin ennaltaehkäisyä koskeva Euroopan neuvoston yleissopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2008/20080048"
"43/2008","Sopimus Tanskan, Suomen, Islannin, Norjan ja Ruotsin välillä lukioita ja ammatillisia oppilaitoksia koskevasta pohjoismaisesta koulutusyhteistyöstä","https://www.finlex.fi/fi/sopimukset/sopsviite/2008/20080043"
"40/2008","Euroopan yhteisön ja sen jäsenvaltioiden sekä  Amerikan yhdysvaltojen välillä tehty lentoliikennesopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2008/20080040"
"38/2008","Euroopan yhteisön ja sen jäsenvaltioiden sekä Kiinan kansantasavallan välinen meriliikennesopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2008/20080038"
"18/2008","Euroopan unionin ja Amerikan yhdysvaltojen välinen sopimus lentoyhtiöiden PNR- eli matkustajarekisteritietojen käsittelemisestä ja siirtämisestä Yhdysvaltojen turvallisuusministeriölle (DHS) (vuoden 2007 PNR-sopimus)","https://www.finlex.fi/fi/sopimukset/sopsviite/2008/20080018"
"1/2008","Yleissopimus Eurooppalaisen synkrotronisäteilykeskuksen rakentamisesta ja käytöstä","https://www.finlex.fi/fi/sopimukset/sopsviite/2008/20080001"
"118/2007","Sopimus Suomen tasavallan hallituksen, Norjan kuningaskunnan hallituksen, Venäjän federaation hallituksen ja Ruotsin kuningaskunnan hallituksen välillä kansainvälisen Barents-sihteeristön perustamisesta Barentsin euroarktisen alueen yhteistyötä varten","https://www.finlex.fi/fi/sopimukset/sopsviite/2007/20070118"
"106/2007","Kansainvälinen meripelastusyleissopimus, 1989","https://www.finlex.fi/fi/sopimukset/sopsviite/2007/20070106"
"87/2007","Pöytäkirja Kansainvälisen merenpohjajärjestön erioikeuksista ja vapauksista","https://www.finlex.fi/fi/sopimukset/sopsviite/2007/20070087"
"59/2007","Euroopan neuvoston tietoverkkorikollisuutta koskeva yleissopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2007/20070059"
"53/2007","Sopimus Belgian kuningaskunnan, Saksan liittotasavallan, Espanjan kuningaskunnan, Ranskan tasavallan, Luxemburgin suurherttuakunnan, Alankomaiden kuningaskunnan ja Itävallan tasavallan välillä rajat ylittävän yhteistyön tehostamisesta erityisesti terrorismin, rajat ylittävän rikollisuuden ja laittoman muuttoliikkeen torjumiseksi","https://www.finlex.fi/fi/sopimukset/sopsviite/2007/20070053"
"50/2007","Kansainvälinen terveyssäännöstö (2005)","https://www.finlex.fi/fi/sopimukset/sopsviite/2007/20070050"
"47/2007","Sopimus yhteistyöstä astrofysiikan alalla","https://www.finlex.fi/fi/sopimukset/sopsviite/2007/20070047"
"29/2007","Pöytäkirja Euroopan ydinfysiikan tutkimusjärjestön erioikeuksista ja vapauksista","https://www.finlex.fi/fi/sopimukset/sopsviite/2007/20070029"
"SOPIMUS-18_2007","EU Sopimus turvaluokiteltujen tietojen suojaamisesta Euroopan Unionin ja Amerikan Yhdysvaltojen välillä","https://www.finlex.fi/fi/sopimukset/sopsviite/2007/20070018"
"16/2007","Yleissopimus kulttuuri-ilmaisujen moninaisuuden suojelemisesta ja edistämisestä","https://www.finlex.fi/fi/sopimukset/sopsviite/2007/20070016"
"3/2007","Kansainvälinen dopingin vastainen yleissopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2007/20070003"
"114/2006","Sopimus Belgian kuningaskunnan, Tshekin tasavallan, Tanskan kuningaskunnan, Saksan liittotasavallan, Viron tasavallan, Helleenien tasavallan, Espanjan kuningaskunnan, Ranskan tasavallan, Irlannin, Italian tasavallan, Kyproksen tasavallan, Latvian tasavallan, Liettuan tasavallan, Luxemburgin suurherttuakunnan, Unkarin tasavallan, Maltan tasavallan, Alankomaiden kuningaskunnan, Itävallan tasavallan, Puolan tasavallan, Portugalin tasavallan, Slovenian tasavallan, Slovakian tasavallan, Suomen tasavallan, Ruotsin kuningaskunnan, Ison-Britannian ja Pohjois-Irlannin yhdistyneen kuningaskunnan (Euroopan unionin jäsenvaltiot) ja Bulgarian tasavallan ja Romanian välillä Bulgarian tasavallan ja Romanian liittymisestä Euroopan unioniin","https://www.finlex.fi/fi/sopimukset/sopsviite/2006/20060114"
"95/2006","Tanskan, Suomen, Islannin, Norjan ja Ruotsin välinen väestön rekisteröintiä koskeva sopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2006/20060095"
"63/2006","Sopimus Kansainvälisen Merioikeustuomioistuimen erioikeuksista ja vapauksista","https://www.finlex.fi/fi/sopimukset/sopsviite/2006/20060063"
"61/2006","Euro-Välimeri-sopimus Euroopan yhteisön ja sen jäsenvaltioiden sekä Libanonin tasavallan välisestä assosiaatiosta","https://www.finlex.fi/fi/sopimukset/sopsviite/2006/20060061"
"56/2006","Korruption vastainen Yhdistyneiden Kansakuntien yleissopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2006/20060056"
"13/2006","Eurooppalainen maisemayleissopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2006/20060013"
"11/2006","Euro-Välimeri-sopimus Euroopan yhteisön ja sen jäsenvaltioiden sekä Algerian demokraattisen kansantasavallan välisestä assosiaatiosta","https://www.finlex.fi/fi/sopimukset/sopsviite/2006/20060011"
"6/2006","Patenttilakisopimus (PLT)","https://www.finlex.fi/fi/sopimukset/sopsviite/2006/20060006"
"2/2006","Pöytäkirja tullimenettelyjen yksinkertaistamisesta ja yhdenmukaistamisesta tehdyn kansainvälisen yleissopimuksen muuttamisesta","https://www.finlex.fi/fi/sopimukset/sopsviite/2006/20060002"
"108/2005","Sopimus Tshekin tasavallan, Viron tasavalln, Kyproksen tasavallan, Latvian Tasavallan, Liettuan tasavallan, Unkarin tasavallan, Maltan tasavallan, Puolan tasavallan, Slovenian tasavallan ja Slovakian tasavallan osallistumisesta Euroopan talousalueeseen","https://www.finlex.fi/fi/sopimukset/sopsviite/2005/20050108"
"97/2005","Euroopan unionista tehdyn sopimuksen K.3 artiklan 2 kohdan c alakohdan nojalla tehty sellaisen lahjonnan, jossa on osallisina Euroopan yhteisöjen virkamiehiä tai Euroopan unionin jäsenvaltioiden virkamiehiä, torjumista koskeva yleissopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2005/20050097"
"90/2005","Yleissopimus Euroopan metsäinstituutista","https://www.finlex.fi/fi/sopimukset/sopsviite/2005/20050090"
"87/2005","Euroopan unionista tehdyn sopimuksen 34 artiklan mukaisesti tehty yleissopimus keskinäisestä oikeusavusta rikosasioissa Euroopan unionin jäsenvaltioiden välillä","https://www.finlex.fi/fi/sopimukset/sopsviite/2005/20050087"
"68/2005","Afrikan, Karibian ja Tyynenmeren valtioiden ryhmän jäsenten sekä Euroopan yhteisön ja sen jäsenvaltioiden välinen kumppanuussopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2005/20050068"
"40/2005","Neuvoston päätös valtiosta toiseen tapahtuvaa ilman epäpuhtauksien kaukokulkeutumista koskevan vuoden 1979 yleissopimukseen liittyvään happamoitumisen, rehevöitymisen ja alailmakehän otsonin vähentämistä koskevaan vuoden 1999 pöytäkirjaan tehdyn muutoksen hyväksymisestä","https://www.finlex.fi/fi/sopimukset/sopsviite/2005/20050040"
"37/2005","Sopimus Kansainvälisen rikostuomioistuimen erioikeuksista ja vapauksista","https://www.finlex.fi/fi/sopimukset/sopsviite/2005/20050037"
"30/2005","Sopimus Euroopan yhteisön ja sen jäsenvaltioiden sekä Chilen tasavallan välisestä assosiaatiosta","https://www.finlex.fi/fi/sopimukset/sopsviite/2005/20050030"
"26/2005","Tupakoinnin torjuntaa koskeva Maailman terveysjärjestön (WHO) puitesopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2005/20050026"
"18/2005","Puitesopimus monenvälisestä ydinalan ympäristöohjelmasta Venäjän federaatiossa. Pöytäkirja oikeudellisista vaateista, oikeudenkäyntimenettelyistä ja vastuusta vapauttamisesta","https://www.finlex.fi/fi/sopimukset/sopsviite/2005/20050018"
"14/2005","Tampereen yleissopimus televiestinnän voimavarojen antamisesta suuronnettomuuksien lievittämiseen ja pelastustoimiin","https://www.finlex.fi/fi/sopimukset/sopsviite/2005/20050014"
"174/2004","Sopimus Tanskan, Viron, Suomen, Islannin, Latvian, Liettuan, Norjan ja Ruotsin välillä koskien Pohjoismaiden investointipankkia","https://www.finlex.fi/fi/sopimukset/sopsviite/2004/20040174"
"147/2004","Yleissopimus tehty Euroopan unionista tehdyn sopimuksen K.3 artiklan perusteella, tullihallintojen keskinäisestä avunannosta ja yhteistyöstä","https://www.finlex.fi/fi/sopimukset/sopsviite/2004/20040147"
"121/2004","Yleissopimus tiedon saannista, yleisön osallistumisoikeudesta päätöksentekoon sekä muutoksenhaku- ja vireillepano-oikeudesta ympäristöasioissa","https://www.finlex.fi/fi/sopimukset/sopsviite/2004/20040121"
"107/2004","Rotterdamin yleissopimus kansainvälisen kaupan kohteina olevia tiettyjä vaarallisia kemikaaleja ja torjunta-aineita koskevan ilmoitetun ennakkosuostumuksen menettelystä","https://www.finlex.fi/fi/sopimukset/sopsviite/2004/20040107"
"105/2004","Eurooppa-koulujen perussäännön määrittelevä yleissopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2004/20040105"
"94/2004","Euroopan Avaruusjärjestöä koskevan yleissopimuksen sopimuspuolten ja Euroopan Avaruusjärjestön välillä turvallisuusluokiteltujen tietojen suojaamisesta ja vaihdosta tehty yleissopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2004/20040094"
"91/2004","Euroopan yhteisöjen ja niiden jäsenvaltioiden sekä Egyptin arabitasavallan välisen assosiaation perustava Euro-Välimeri-sopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2004/20040091"
"89/2004","Elintarvikkeiden ja maatalouden kasvigeenivaroja koskeva kansainvälinen sopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2004/20040089"
"76/2004","Yleissopimus eräiden kansainvälistä ilmakuljetusta koskevien sääntöjen yhtenäistämisestä","https://www.finlex.fi/fi/sopimukset/sopsviite/2004/20040076"
"67/2004","Euroopan yhteisön ja sen jäsenvaltioiden sekä Etelä-Afrikan tasavallan välinen kauppaa, kehitystä ja yhteistyötä koskeva sopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2004/20040067"
"64/2004","Lahjontaa koskeva siviilioikeudellinen yleissopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2004/20040064"
"61/2004","Valtion- ja hallituksen päämiesten kokoonpanossa kokoontuvan neuvoston päätös, tehty 21 päivänä maaliskuuta 2003, Euroopan keskuspankkijärjestelmän ja Euroopan keskuspankin perussäännön 10.2 artiklan muuttamisesta (2003/223/EY)","https://www.finlex.fi/fi/sopimukset/sopsviite/2004/20040061"
"41/2004","Sopimus Belgian kuningaskunnan, Tanskan kuningaskunnan, Saksan liittotasavallan, Helleenien tasavallan, Espanjan kuningaskunnan, Ranskan tasavallan, Irlannin, Italian tasavallan, Luxemburgin suurherttuakunnan, Alankomaiden kuningaskunnan, Itävallan tasavallan, Portugalin tasavallan, Suomen tasavallan, Ruotsin kuningaskunnan, Ison-Britannian ja Pohjois-Irlannin yhdistyneen kuningaskunnan (Euroopan unionin jäsenvaltiot) ja Tekin tasavallan, Viron tasavallan, Kyproksen tasavallan, Latvian tasavallan, Liettuan tasavallan, Unkarin tasavallan, Maltan tasavallan, Puolan tasavallan, Slovenian tasavallan, Slovakian tasavallan, välillä Tekin tasavallan, Viron tasavallan, Kyproksen tasavallan, Latvian tasavallan, Liettuan tasavallan, Unkarin tasavallan, Maltan tasavallan, Puolan tasavallan, Slovenian tasavallan ja Slovakian tasavallan liittymisestä Euroopan unioniin","https://www.finlex.fi/fi/sopimukset/sopsviite/2004/20040041"
"34/2004","Pysyviä orgaanisia yhdisteitä koskeva Tukholman yleissopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2004/20040034"
"31/2004","Merioikeudellisia vaateita koskevan vastuun rajoittamisesta tehdyn vuoden 1976 kansainvälisen yleissopimuksen muuttamisesta tehty vuoden 1996 pöytäkirja","https://www.finlex.fi/fi/sopimukset/sopsviite/2004/20040031"
"27/2004","Euroopan yhteisöjen ja niiden jäsenvaltioiden sekä entisen Jugoslavian tasavallan Makedonian vakautus- ja assosiaatiosopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2004/20040027"
"18/2004","Kansainvälisen järjestäytyneen rikollisuuden vastainen Yhdistyneiden Kansakuntien yleissopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2004/20040018"
"9/2004","Yleissopimus korkea-asteen koulutusta koskevien tutkintojen tunnustamisesta Euroopan alueella","https://www.finlex.fi/fi/sopimukset/sopsviite/2004/20040009"
"8/2004","Yhteispohjoismainen terveydenhuollon puitesopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2004/20040008"
"5/2004","Sopimus Kansainvälisen viinijärjestön perustamisesta","https://www.finlex.fi/fi/sopimukset/sopsviite/2004/20040005"
"4/2004","Sopimus koealueesta Kioton mekanismien soveltamiseksi energiahankkeissa Itämeren alueella","https://www.finlex.fi/fi/sopimukset/sopsviite/2004/20040004"
"3/2004","Neuvoston 16 päivänä maaliskuuta 1992 yhteisistä säännöistä harjoitettaessa kansainvälistä henkilöliikennettä linja-autoilla antaman asetuksen (ETY) n:o 684/92, jota on muutettu neuvoston joulukuun 11 päivänä 1997 antamalla asetuksella (EY) n:o 11/98, 18 artiklan 1 kohdan mukainen sopimus Tanskan, Suomen, Norjan ja Ruotsin välillä valvonta-asiakirjojen poistamisesta tilapäisessä linja-autoliikenteessä pohjoismaissa","https://www.finlex.fi/fi/sopimukset/sopsviite/2004/20040003"
"80/2003","Sopimus hajallaan olevien kalakantojen ja laajasti vaeltavien kalakantojen säilyttämistä ja hoitoa koskevien 10 päivänä joulukuuta 1982 tehdyn Yhdistyneiden Kansakuntien merioikeusyleissopimuksen määräysten täytäntöönpanosta","https://www.finlex.fi/fi/sopimukset/sopsviite/2003/20030080"
"39/2003","Avoin taivas -sopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2003/20030039"
"25/2003","Yleissopimus nro 184 joka koskee maatalousalan työturvallisuutta ja -terveyttä. Suositus nro 192 joka koskee maatalousalan työturvallisuutta ja -terveyttä","https://www.finlex.fi/fi/sopimukset/sopsviite/2003/20030025"
"18/2003","Nizzan sopimus Euroopan unionista tehdyn sopimuksen sekä Euroopan yhteisöjen perustamissopimusten ja niihin liittyvien asiakirjojen muuttamisesta","https://www.finlex.fi/fi/sopimukset/sopsviite/2003/20030018"
"12/2003","Sopimus Tanskan kuningaskunnan, Suomen tasavallan, Norjan kuningaskunnan ja Ruotsin kuningaskunnan välillä puolustusmateriaalialan teollisuuden yhteistyön tukemisesta","https://www.finlex.fi/fi/sopimukset/sopsviite/2003/20030012"
"107/2002","Lahjontaa koskeva Euroopan neuvoston rikosoikeudellinen yleissopimus","https://www.finlex.fi/fi/sopimukset/sopsviite/2002/20020107"
"96/2002","Suomen, Islannin, Norjan, Ruotsin ja Tanskan välinen sopimus valtioiden eläkejärjestelmien mukaisen eläkeoikeuden sopeuttamisesta","https://www.finlex.fi/fi/sopimukset/sopsviite/2002/20020096"
